VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
510.0,11.1,0.6,3.4,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 um thick),0.25,-,-,-,0,0
410.0,4.1,0.56,0.9,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
410.0,4.1,0.56,0.9,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 um thick),0.25,-,-,-,0,0
660.0,12.1,0.73,5.8,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,TiO2 film (15 uM thick),0.25,-,40 mM DCA,-,1,0
710.0,13.5,0.77,7.4,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,TiO2 film (15 uM thick),0.25,-,40 mM DCA,-,1,0
700.0,14.3,0.64,6.4,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,TiO2 film (15 uM thick),0.25,-,40 mM DCA,-,1,0
450.0,13.7,0.5,3.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)",TiO2 film (14 uM thick),0.25,-,-,-,0,0
510.0,14.6,0.51,3.8,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)",TiO2 film (14 uM thick),0.25,-,20  mM DCA,-,1,0
660.0,15.6,0.7,7.2,0.6 M DMPImI-0.1 M LiI-0.05 M I2-0.5 M TBP in AN,TiO2 film (14 uM thick),0.25,-,40  mM DCA,-,1,0
690.0,15.3,0.71,7.5,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M TBP in AN,TiO2 film (14 uM thick),0.25,-,40  mM DCA,-,1,0
